floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
55,214,2412,2417,0,-84,-64,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2412,0,-83,-65,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2417,0,-83,-68,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-64,100
55,214,2412,2417,0,-84,-64,100
55,214,2412,2417,0,-84,-66,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2417,0,-83,-68,100
55,214,2412,2412,0,-84,-65,100
55,214,2417,2417,0,-85,-63,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-83,-68,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2417,0,-85,-66,100
55,214,2412,2412,0,-84,-65,100
55,214,2417,2417,0,-83,-64,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2417,0,-85,-64,100
55,214,2412,2412,0,-84,-65,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2417,0,-83,-68,100
55,214,2417,2412,0,-83,-65,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2412,0,-83,-65,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-85,-75,100
55,214,2412,2412,0,-84,-75,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2417,0,-85,-64,100
55,214,2412,2417,0,-84,-66,100
55,214,2412,2417,0,-84,-66,100
55,214,2412,2417,0,-84,-64,100
55,214,2412,2412,0,-84,-65,100
55,214,2417,2417,0,-83,-68,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-85,-63,100
55,214,2412,2412,0,-84,-75,100
55,214,2417,2417,0,-83,-66,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2417,0,-85,-66,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2417,0,-83,-63,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2417,0,-83,-68,100
55,214,2417,2417,0,-85,-68,100
55,214,2412,2417,0,-84,-66,100
55,214,2412,2412,0,-84,-65,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2417,0,-85,-63,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2412,0,-85,-65,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2412,0,-83,-65,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-83,-65,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2417,0,-85,-63,100
55,214,2412,2412,0,-84,-75,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-83,-65,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2417,0,-85,-64,100
55,214,2412,2412,0,-84,-68,100
55,214,2412,2417,0,-84,-66,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2412,0,-83,-65,100
55,214,2412,2412,0,-84,-75,100
55,214,2417,2412,0,-83,-65,100
55,214,2417,2417,0,-85,-63,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2412,0,-85,-65,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2417,0,-83,-68,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2417,0,-85,-64,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2412,0,-84,-68,100
55,214,2412,2417,0,-84,-64,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-85,-66,100
55,214,2412,2412,0,-84,-68,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-66,100
55,214,2412,2417,0,-84,-66,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-63,100
55,214,2412,2417,0,-84,-64,100
55,214,2412,2412,0,-84,-65,100
55,214,2417,2412,0,-85,-65,100
55,214,2412,2412,0,-84,-68,100
55,214,2412,2417,0,-84,-66,100
55,214,2417,2417,0,-83,-68,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2412,0,-85,-65,100
55,214,2412,2417,0,-84,-66,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2412,0,-84,-75,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2412,0,-85,-65,100
55,214,2412,2417,0,-84,-63,100
55,214,2412,2417,0,-84,-66,100
55,214,2417,2417,0,-83,-68,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-85,-64,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2412,0,-85,-68,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-85,-68,100
55,214,2412,2417,0,-84,-64,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2417,0,-85,-64,100
55,214,2412,2412,0,-84,-68,100
55,214,2412,2412,0,-84,-75,100
55,214,2412,2417,0,-84,-63,100
55,214,2412,2412,0,-84,-75,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2417,0,-85,-63,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-66,100
55,214,2417,2417,0,-85,-63,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-85,-63,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2417,0,-83,-68,100
55,214,2412,2417,0,-84,-66,100
55,214,2417,2417,0,-83,-64,100
55,214,2412,2417,0,-84,-64,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2417,0,-85,-63,100
55,214,2412,2412,0,-84,-75,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2412,0,-83,-65,100
55,214,2412,2412,0,-84,-65,100
55,214,2412,2417,0,-84,-63,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2417,0,-83,-66,100
55,214,2412,2412,0,-84,-75,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-85,-75,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2417,0,-85,-68,100
55,214,2412,2417,0,-84,-64,100
55,214,2412,2417,0,-84,-68,100
55,214,2412,2412,0,-84,-65,100
55,214,2417,2412,0,-83,-68,100
55,214,2417,2417,0,-85,-68,100
55,214,2412,2417,0,-84,-63,100
55,214,2412,2412,0,-84,-65,100
55,214,2417,2417,0,-85,-64,100
55,214,2412,2417,0,-84,-64,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2417,0,-84,-63,100
55,214,2412,2417,0,-84,-63,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2417,0,-83,-64,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2417,0,-83,-68,100
55,214,2417,2412,0,-83,-75,100
55,214,2417,2417,0,-85,-64,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2412,0,-83,-65,100
55,214,2412,2412,0,-84,-68,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2417,0,-83,-63,100
55,214,2412,2417,0,-84,-63,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2417,0,-83,-64,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2417,0,-85,-68,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2417,0,-83,-63,100
55,214,2417,2412,0,-83,-75,100
55,214,2412,2417,0,-84,-66,100
55,214,2417,2412,0,-83,-68,100
55,214,2412,2412,0,-84,-75,100
55,214,2417,2417,0,-85,-63,100
55,214,2412,2412,0,-84,-65,100
55,214,2412,2417,0,-84,-66,100
55,214,2412,2417,0,-84,-68,100
55,214,2417,2412,0,-85,-65,100
55,214,2417,2412,0,-85,-68,100
55,214,2417,2417,0,-83,-66,100
55,214,2417,2417,0,-85,-66,100
55,214,2417,2412,0,-85,-75,100
55,214,2417,2417,0,-85,-64,100
55,214,2417,2417,0,-85,-66,100
